response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4996,0.0016,0.0011,0.0002,1.4970,0.0002,200,0.0088
2.9030,0.0018,0.0010,0.0001,2.9004,0.0001,200,0.0088
2.8766,0.0000,0.0000,0.0000,2.8764,0.0001,200,1.5084
3.0472,0.0000,0.0000,0.0000,3.0469,0.0002,200,2.9119
3.1463,0.0000,0.0000,0.0000,3.1461,0.0001,200,4.3850
2.9658,0.0000,0.0000,0.0000,2.9657,0.0001,200,5.9590
2.7809,0.0000,0.0000,0.0000,2.7808,0.0001,200,7.5313
2.8207,0.0000,0.0000,0.0000,2.8205,0.0001,200,8.9249
2.9090,0.0000,0.0000,0.0000,2.9089,0.0001,200,10.3122
2.9472,0.0000,0.0000,0.0000,2.9470,0.0001,200,11.7456
3.2367,0.0000,0.0000,0.0000,3.2366,0.0001,200,13.2212
3.2742,0.0000,0.0000,0.0001,3.2739,0.0001,200,14.6928
2.9905,0.0000,0.0000,0.0000,2.9903,0.0001,200,16.4580
3.3134,0.0000,0.0000,0.0000,3.3130,0.0003,200,17.9671
3.4819,0.0000,0.0000,0.0000,3.4817,0.0001,200,19.4485
3.4524,0.0000,0.0000,0.0000,3.4522,0.0001,200,21.2804
3.2750,0.0000,0.0000,0.0001,3.2748,0.0001,200,22.9304
3.1757,0.0000,0.0000,0.0000,3.1755,0.0001,200,24.7328
3.2937,0.0000,0.0000,0.0001,3.2935,0.0001,200,26.2055
3.1657,0.0000,0.0000,0.0000,3.1655,0.0001,200,27.9085
2.9761,0.0000,0.0000,0.0000,2.9759,0.0001,200,29.4992
2.8323,0.0000,0.0000,0.0000,2.8322,0.0001,200,31.0741
2.7854,0.0000,0.0000,0.0000,2.7853,0.0001,200,32.4752
2.9267,0.0000,0.0000,0.0000,2.9266,0.0001,200,33.9064
3.1043,0.0000,0.0000,0.0000,3.1040,0.0001,200,35.2607
3.2394,0.0000,0.0000,0.0000,3.2393,0.0001,200,36.8332
3.1657,0.0000,0.0000,0.0000,3.1655,0.0001,200,38.3650
3.1000,0.0000,0.0000,0.0000,3.0999,0.0001,200,40.0726
3.0626,0.0000,0.0000,0.0000,3.0624,0.0001,200,41.5307
2.7979,0.0000,0.0000,0.0000,2.7977,0.0001,200,43.1726
2.6773,0.0000,0.0000,0.0000,2.6771,0.0001,200,44.5934
2.6610,0.0000,0.0000,0.0000,2.6608,0.0001,200,45.9705
2.8719,0.0000,0.0000,0.0000,2.8715,0.0002,200,47.2707
3.0086,0.0000,0.0000,0.0000,3.0083,0.0002,200,48.6315
2.8003,0.0000,0.0000,0.0001,2.7999,0.0001,200,50.1425
2.6315,0.0000,0.0000,0.0000,2.6313,0.0001,200,51.6401
2.6612,0.0000,0.0000,0.0000,2.6611,0.0001,200,52.9429
2.7296,0.0000,0.0000,0.0000,2.7295,0.0001,200,54.2715
2.9176,0.0000,0.0000,0.0000,2.9175,0.0001,200,55.6041
2.8860,0.0000,0.0000,0.0000,2.8858,0.0001,200,57.0011
2.7448,0.0000,0.0000,0.0000,2.7446,0.0001,200,58.5217
2.7097,0.0000,0.0000,0.0000,2.7095,0.0001,200,59.8871
2.7286,0.0000,0.0000,0.0000,2.7285,0.0001,200,61.2665
2.8038,0.0000,0.0000,0.0000,2.8036,0.0001,200,62.5967
2.8080,0.0000,0.0000,0.0000,2.8078,0.0001,200,63.9951
2.7546,0.0000,0.0000,0.0000,2.7544,0.0001,200,65.4006
2.6834,0.0000,0.0000,0.0000,2.6832,0.0001,200,66.8031
2.6413,0.0000,0.0000,0.0000,2.6412,0.0001,200,68.1552
2.9252,0.0000,0.0000,0.0000,2.9251,0.0001,200,69.4865
3.1096,0.0000,0.0000,0.0000,3.1094,0.0001,200,70.7965
2.7926,0.0000,0.0000,0.0000,2.7924,0.0001,200,72.4118
2.6323,0.0000,0.0000,0.0000,2.6321,0.0001,200,73.9061
2.6656,0.0000,0.0000,0.0000,2.6654,0.0001,200,75.2044
2.7764,0.0000,0.0000,0.0000,2.7762,0.0001,200,76.5384
2.7541,0.0000,0.0000,0.0000,2.7539,0.0001,200,77.8700
2.6434,0.0000,0.0000,0.0000,2.6432,0.0001,200,79.3148
2.6765,0.0000,0.0000,0.0000,2.6764,0.0001,200,80.6241
2.6843,0.0000,0.0000,0.0000,2.6842,0.0001,200,81.9583
2.7701,0.0000,0.0000,0.0000,2.7700,0.0001,200,83.3006
2.8601,0.0000,0.0000,0.0000,2.8600,0.0001,200,84.6426
2.7919,0.0000,0.0000,0.0000,2.7917,0.0001,200,86.0708
2.7453,0.0000,0.0000,0.0000,2.7452,0.0001,200,87.5027
2.7771,0.0000,0.0000,0.0000,2.7770,0.0001,200,88.8626
2.7148,0.0000,0.0000,0.0000,2.7146,0.0001,200,90.2481
2.6816,0.0000,0.0000,0.0000,2.6814,0.0002,200,91.6398
2.6554,0.0000,0.0000,0.0000,2.6553,0.0001,200,92.9629
2.6434,0.0000,0.0000,0.0000,2.6432,0.0001,200,94.3214
3.0592,0.0000,0.0000,0.0000,3.0590,0.0001,200,95.6183
3.1097,0.0000,0.0000,0.0000,3.1095,0.0001,200,96.9648
2.8040,0.0000,0.0000,0.0000,2.8039,0.0001,200,98.6775
2.8528,0.0000,0.0000,0.0000,2.8526,0.0001,200,100.0745
2.9771,0.0000,0.0000,0.0000,2.9770,0.0001,200,101.4816
2.8822,0.0000,0.0000,0.0000,2.8821,0.0001,200,102.9273
2.7325,0.0000,0.0000,0.0000,2.7324,0.0001,200,104.4587
2.6948,0.0000,0.0000,0.0000,2.6946,0.0001,200,105.8095
2.6192,0.0000,0.0000,0.0000,2.6190,0.0001,200,107.1913
3.1308,0.0000,0.0000,0.0000,3.1305,0.0002,200,108.5043
3.1857,0.0000,0.0000,0.0000,3.1856,0.0001,200,109.8104
2.8902,0.0000,0.0000,0.0000,2.8900,0.0001,200,111.6350
3.1141,0.0000,0.0000,0.0000,3.1139,0.0001,200,112.9961
2.9570,0.0000,0.0000,0.0000,2.9569,0.0001,200,114.5252
2.7509,0.0000,0.0000,0.0001,2.7507,0.0001,200,116.1102
2.7385,0.0000,0.0000,0.0000,2.7378,0.0007,200,117.4823
2.7514,0.0000,0.0000,0.0000,2.7513,0.0001,200,118.8611
